銘柄コード,1332
会社名,日本水産株式会社
上場市場,東証一部
上場日,1949年05月14日
業種,水産・農林業
法人番号,1010001016860
住所,東京都港区西新橋１丁目３番１号

大株主
順位,株主名,持株比率
1,日本マスタートラスト信託銀行株式会社（信託口）,13.01％
2,日本トラスティ・サービス信託銀行株式会社(信託口),9.08％
3,日本トラスティ・サービス信託銀行株式会社（信託口９）,3.85％
4,株式会社みずほ銀行,3.42％
5,持田製薬株式会社,2.57％
6,日本トラスティ・サービス信託銀行株式会社（信託口５）,1.77％
7,ステートストリートバンクアンドトラストカンパニー５０５００１(常任代理人株式会社みずほ銀行決済営部）,1.55％
8,ジェーピーモルガンチェースバンク３８５１５１       (常任代理人株式会社みずほ銀行決済営業部）,1.48％
9,野村信託銀行株式会社（投信口）,1.48％
10,中央魚類株式会社,1.33％

出資先上場企業
会社名,直接持株比率
日水製薬株式会社,54.05%
株式会社大水,31.35%
株式会社ホウスイ,27.80%
横浜魚類株式会社,19.80%
中部水産株式会社,13.50%
中央魚類株式会社,12.01%
ニチモウ株式会社,3.48%
持田製薬株式会社,3.10%
三菱食品株式会社,1.41%
