銘柄コード,1333
会社名,マルハニチロ株式会社
上場市場,東証一部
上場日,2014年04月01日
業種,水産・農林業
法人番号,2010601040697
住所,東京都江東区豊洲３丁目２番２０号

大株主
順位,株主名,持株比率
1,大東通商株式会社,9.85％
2,日本マスタートラスト信託銀行株式会社（信託口）,8.99％
3,日本トラスティ・サービス信託銀行株式会社（信託口）,5.64％
4,農林中央金庫,3.54％
5,株式会社みずほ銀行（常任代理人資産管理サービス信託銀行株式会社）,3.04％
6,東京海上日動火災保険株式会社,1.84％
7,日本トラスティ・サービス信託銀行株式会社（信託口９）,1.73％
8,ＯＵＧホールディングス株式会社,1.61％
9,日本トラスティ・サービス信託銀行株式会社（信託口５）,1.52％
10,日本生命保険相互会社（常任代理人日本マスタートラスト信託銀行株式会社）,1.40％

出資先上場企業
会社名,直接持株比率
大都魚類株式会社,32.69%
ＯＵＧホールディングス株式会社,13.42%
横浜丸魚株式会社,8.94%
東都水産株式会社,8.09%
株式会社Ｃ＆Ｆロジホールディングス,7.92%
林兼産業株式会社,6.35%
中部水産株式会社,4.50%
横浜魚類株式会社,3.10%
滝沢ハム株式会社,2.14%
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1.81%
三菱食品株式会社,1.20%
